,0,1,2
0,167,169,135
1,167,169,135
2,167,169,135
3,167,169,135
4,167,169,135
5,167,169,135
6,167,169,135
7,166,168,134
8,166,168,134
9,165,167,133
10,165,167,133
11,164,166,132
12,164,166,132
13,162,164,130
14,162,164,130
15,162,164,130
16,162,164,130
17,162,164,130
18,162,164,130
19,162,164,130
20,162,164,130
21,162,164,130
22,162,164,130
23,162,164,130
24,161,163,129
25,160,162,128
26,160,162,128
27,160,162,128
28,160,162,128
29,160,162,128
30,160,162,128
31,160,162,128
32,160,162,128
33,160,162,128
34,160,162,128
35,159,161,127
36,159,161,127
37,159,161,127
38,161,161,127
39,161,161,127
40,161,161,127
41,161,161,127
42,161,161,127
43,161,161,127
44,161,161,127
45,161,161,127
46,160,160,126
47,160,160,126
48,160,160,126
49,160,160,126
50,160,160,126
51,160,160,126
52,160,160,126
53,160,160,126
54,160,160,126
55,160,160,126
56,160,160,126
57,160,160,126
58,157,157,123
59,157,157,123
60,157,157,123
61,157,157,123
62,157,157,123
63,157,157,123
64,157,158,121
65,157,158,121
66,157,158,121
67,157,158,121
68,157,158,121
69,157,158,121
70,157,158,121
71,157,158,121
72,160,161,124
73,160,161,124
74,160,161,124
75,160,161,124
76,160,161,124
77,160,161,124
78,160,161,124
79,160,161,124
80,160,160,126
81,160,160,126
82,160,160,126
83,160,160,126
84,160,160,126
85,160,160,126
86,160,160,126
87,160,160,126
88,160,160,126
89,160,160,126
90,160,160,126
91,160,160,126
92,160,160,126
93,160,160,126
94,160,160,126
95,160,160,126
96,160,161,124
97,160,161,124
98,161,162,125
99,161,162,125
100,161,161,127
101,161,161,127
102,161,161,127
103,161,161,127
104,161,161,127
105,161,161,127
106,162,162,128
107,162,162,128
108,162,162,128
109,162,162,128
110,162,162,128
111,162,162,128
112,164,161,128
113,164,161,128
114,164,161,128
115,164,161,128
116,164,161,128
117,164,161,128
118,164,161,128
119,164,161,128
120,164,161,128
121,164,161,128
122,165,162,129
123,165,162,129
124,165,162,129
125,165,162,129
126,165,161,130
127,165,161,130
128,166,162,131
129,165,161,130
130,166,162,131
131,168,164,133
132,166,165,133
133,166,165,133
134,166,165,133
135,166,165,133
136,166,165,133
137,166,165,133
138,167,166,134
139,167,166,134
140,167,166,134
141,167,166,134
142,167,166,134
143,167,166,134
144,167,166,134
145,167,166,134
146,170,166,135
147,170,166,135
148,170,166,135
149,170,166,135
150,170,166,135
151,170,166,135
152,170,166,135
153,171,167,136
154,172,168,137
155,172,168,137
156,172,168,137
157,172,168,137
158,172,168,137
159,172,168,137
160,172,168,137
161,172,168,137
162,172,168,137
163,173,169,138
164,173,169,138
165,173,169,138
166,173,169,138
167,173,169,138
168,173,169,138
169,173,169,138
170,175,171,140
171,176,172,141
172,176,172,141
173,176,172,141
174,176,172,141
175,176,172,141
176,176,172,141
177,176,172,141
178,176,173,140
179,177,174,141
180,177,174,141
181,177,174,141
182,177,174,141
183,177,174,141
184,177,174,141
185,177,174,141
186,178,175,142
187,179,176,143
188,179,176,143
189,179,176,143
190,179,176,143
191,179,176,143
192,179,176,143
193,179,176,143
194,179,176,143
195,179,176,143
196,180,177,144
197,182,179,146
198,182,179,146
199,182,179,146
200,182,179,146
201,182,179,146
202,182,179,146
203,182,179,146
204,183,180,147
205,183,180,147
206,184,181,148
207,184,181,148
208,183,180,147
209,183,180,147
210,183,180,147
211,183,180,147
212,183,180,147
213,183,180,147
214,183,180,147
215,184,181,148
216,184,181,148
217,184,181,148
218,184,181,148
219,184,181,148
220,184,181,148
221,184,181,148
222,185,182,149
223,185,182,149
224,185,182,149
225,185,182,149
226,185,182,149
227,185,182,149
228,185,182,149
229,185,182,149
230,185,182,149
231,186,183,150
232,186,183,150
233,186,183,150
234,186,183,150
235,186,183,150
236,186,183,150
237,186,183,150
238,184,184,150
239,184,184,150
240,186,183,150
241,186,183,150
242,184,184,150
243,184,184,150
244,185,185,151
245,185,185,151
246,185,185,151
247,185,185,151
248,185,185,151
249,185,185,151
250,185,185,151
251,186,186,152
252,188,188,154
253,188,188,154
254,188,188,154
255,188,188,154
256,188,188,154
257,189,189,155
258,189,188,156
259,189,188,156
260,189,188,156
261,189,188,156
262,189,188,156
263,189,188,156
264,189,188,156
265,189,188,156
266,189,188,156
267,189,188,156
268,189,188,156
269,189,188,156
270,189,188,156
271,189,188,156
272,189,188,156
273,189,188,156
274,187,188,156
275,188,189,157
276,188,189,157
277,188,189,157
278,188,189,157
279,188,189,157
280,188,189,157
281,188,189,157
282,188,189,157
283,189,190,158
284,189,190,158
285,189,190,158
286,189,190,158
287,189,190,158
288,189,190,158
289,189,190,158
290,189,190,158
291,189,190,158
292,189,190,158
293,189,190,158
294,189,190,158
295,189,190,158
296,189,190,158
297,189,190,158
298,190,191,159
299,190,191,159
300,190,191,159
301,191,192,160
302,191,192,160
