name,status,length
3000781_0005.h5,transfered successed,3104125
3001203_0007.h5,transfered successed,189875
3001203_0010.h5,transfered successed,1228875
3001203_0013.h5,transfered successed,329500
3001203_0025.h5,transfered successed,944000
3001203_0031.h5,transfered successed,656375
3001203_0039.h5,transfered successed,336000
3001203_0060.h5,transfered successed,1058125
3001203_0073.h5,transfered successed,375000
3001203_0076.h5,transfered successed,219750
3001203_0079.h5,transfered successed,267625
3002565_0006.h5,transfered successed,725500
3006457_0005.h5,transfered successed,913375
3006457_0006.h5,transfered successed,875750
3006457_0008.h5,transfered successed,1775250
3006457_0009.h5,transfered successed,2745750
3007577_0045.h5,transfered successed,5365875
3007577_0078.h5,transfered successed,5347250
3012675_0021.h5,transfered successed,2079500
3012675_0023.h5,transfered successed,108000
3012675_0027.h5,transfered successed,81625
3012675_0029.h5,transfered successed,563625
3012675_0030.h5,transfered successed,1333125
3012747_0001.h5,transfered successed,696625
3018064_0007.h5,transfered successed,2454750
3020531_0006.h5,transfered successed,1797875
3020620_0021.h5,transfered successed,367625
3021670_0028.h5,transfered successed,476625
3021670_0039.h5,transfered successed,120250
3021670_0057.h5,transfered successed,327625
3021670_0242.h5,transfered successed,448875
3021670_0263.h5,transfered successed,312875
3021670_0272.h5,transfered successed,826375
3021670_0278.h5,transfered successed,1325250
3021670_0335.h5,transfered successed,477875
3021670_0338.h5,transfered successed,740000
3021670_0353.h5,transfered successed,173750
3021670_0356.h5,transfered successed,183375
3021670_0362.h5,transfered successed,495875
3021670_0393.h5,transfered successed,433125
3022770_0008.h5,transfered successed,204875
3022770_0009.h5,transfered successed,2236750
3022777_0007.h5,transfered successed,1625750
3022777_0010.h5,transfered successed,18463250
3022777_0013.h5,transfered successed,604000
3023596_0005.h5,transfered successed,9296500
3027075_0011.h5,transfered successed,620375
3027075_0025.h5,transfered successed,509125
3027075_0027.h5,transfered successed,223000
3027075_0030.h5,transfered successed,493375
3027075_0033.h5,transfered successed,236000
3029084_0006.h5,transfered successed,1405375
3029084_0012.h5,transfered successed,2054625
3029084_0022.h5,transfered successed,731250
3029993_0003.h5,transfered successed,233375
3029993_0006.h5,transfered successed,1537250
3029993_0007.h5,transfered successed,132375
3029993_0009.h5,transfered successed,3617625
3029993_0011.h5,transfered successed,1614750
3029993_0015.h5,transfered successed,561750
3029993_0018.h5,transfered successed,122125
3030400_0009.h5,transfered successed,1691000
3032030_0007.h5,transfered successed,1249000
3032030_0014.h5,transfered successed,2922875
3032477_0001.h5,transfered successed,909750
3032545_0007.h5,transfered successed,2240500
3032545_0022.h5,transfered successed,2323000
3032717_0009.h5,transfered successed,1524375
3032717_0017.h5,transfered successed,659750
3032717_0020.h5,transfered successed,829625
3032717_0023.h5,transfered successed,87500
3032717_0029.h5,transfered successed,628500
3032717_0032.h5,transfered successed,726000
3032717_0035.h5,transfered successed,1088875
3032717_0047.h5,transfered successed,285250
3032717_0048.h5,transfered successed,217125
3032717_0054.h5,transfered successed,662125
3032717_0057.h5,transfered successed,170000
3032717_0062.h5,transfered successed,161875
3032717_0065.h5,transfered successed,1146500
3032717_0083.h5,transfered successed,134875
3032717_0110.h5,transfered successed,1512500
3032717_0116.h5,transfered successed,133250
3032717_0136.h5,transfered successed,3693625
3032717_0148.h5,transfered successed,182875
3032717_0151.h5,transfered successed,100125
3032717_0160.h5,transfered successed,97625
3032717_0163.h5,transfered successed,258750
3032717_0178.h5,transfered successed,220750
3032717_0205.h5,transfered successed,1025750
3032717_0220.h5,transfered successed,121250
3032717_0223.h5,transfered successed,503250
3032717_0250.h5,transfered successed,162500
3032717_0253.h5,transfered successed,389375
3032717_0258.h5,transfered successed,251750
3032717_0302.h5,transfered successed,101875
3032717_0323.h5,transfered successed,216500
3032717_0332.h5,transfered successed,146875
3032717_0338.h5,transfered successed,197375
3033492_0009.h5,transfered successed,2768500
3033492_0019.h5,transfered successed,202000
3033492_0027.h5,transfered successed,966500
3036552_0003.h5,transfered successed,787375
3037490_0003.h5,transfered successed,1935125
3037490_0009.h5,transfered successed,1820750
3037490_0036.h5,transfered successed,1404625
3037490_0040.h5,transfered successed,341625
3037490_0045.h5,transfered successed,1732500
3037490_0046.h5,transfered successed,160250
3037490_0048.h5,transfered successed,420375
3037490_0056.h5,transfered successed,1929000
3039783_0008.h5,transfered successed,1407625
3045836_0001.h5,transfered successed,2534250
3045836_0006.h5,transfered successed,5427750
3045836_0008.h5,transfered successed,1839250
3045836_0010.h5,transfered successed,9123375
3045836_0014.h5,transfered successed,48125
3047087_0007.h5,transfered successed,949250
3047774_0014.h5,transfered successed,4419750
3048405_0014.h5,transfered successed,5151875
3048405_0020.h5,transfered successed,8100875
3048405_0026.h5,transfered successed,1147250
3052532_0004.h5,transfered successed,1005625
3052532_0028.h5,transfered successed,1243500
3052532_0046.h5,transfered successed,108375
3053878_0035.h5,transfered successed,165000
3053878_0057.h5,transfered successed,311375
3053878_0059.h5,transfered successed,160750
3053878_0062.h5,transfered successed,451750
3053878_0099.h5,transfered successed,1445875
3053878_0115.h5,transfered successed,7344000
3053878_0117.h5,transfered successed,6197625
3054390_0022.h5,transfered successed,69000
3054390_0037.h5,transfered successed,107250
